ticker,sector,size_tier
PRLB,Industrials,small
PRSU,Consumer Discretionary,small
PRU,Financials,large
PRVA,Health Care,small
PSA,Real Estate,large
PSKY,Communication Services,large
PSMT,Consumer Staples,small
PSN,Industrials,mid
PSX,Energy,large
PTC,Information Technology,large
PTCT,Health Care,small
PTEN,Energy,small
PTGX,Health Care,small
PTON,Consumer Discretionary,small
PVH,Consumer Discretionary,mid
PWR,Industrials,large
PYPL,Financials,large
PZZA,Consumer Discretionary,small
Q,Information Technology,large
QCOM,Information Technology,large
QDEL,Health Care,small
QLYS,Information Technology,mid
QNST,Communication Services,small
QRVO,Information Technology,small
QTWO,Information Technology,small
R,Industrials,mid
RAL,Information Technology,small
RAMP,Information Technology,small
RBA,Industrials,mid
RBC,Industrials,mid
RCL,Consumer Discretionary,large
RCUS,Health Care,small
RDN,Financials,small
RDNT,Health Care,small
REG,Real Estate,large
REGN,Health Care,large
RELY,Financials,small
RES,Energy,small
REX,Energy,small
REXR,Real Estate,mid
REYN,Consumer Staples,small
REZI,Industrials,small
